url	first_seen	portal	title	company	status	location
https://job-boards.greenhouse.io/opentable/jobs/8606925002	2026-07-05	greenhouse-api	Sr. Analyst, Revenue Strategy & Operations	OpenTable	added	Toronto, Canada
https://job-boards.greenhouse.io/opentable/jobs/8494041002	2026-07-05	greenhouse-api	Sr. Manager, Revenue Strategy & Operations (Hybrid)	OpenTable	added	Toronto, Canada
https://job-boards.greenhouse.io/opentable/jobs/8495745002	2026-07-05	greenhouse-api	Sr. Manager, Revenue Strategy & Operations (Remote)	OpenTable	added	Vancouver, Canada
https://job-boards.greenhouse.io/soci/jobs/5834944004	2026-07-05	greenhouse-api	Vice President, Brand and Market Strategy	SOCi	added	Toronto, Canada (Hybrid); Vancouver, Canada (Hybrid)
https://job-boards.greenhouse.io/marqeta/jobs/7915151	2026-07-05	greenhouse-api	Director, GTM Operations	Marqeta	added	Oakland, CA
https://job-boards.greenhouse.io/marqeta/jobs/6908099	2026-07-05	greenhouse-api	Senior Manager, IT Product Management	Marqeta	added	Toronto, Canada; Vancouver, Canada
https://job-boards.greenhouse.io/marqeta/jobs/7848950	2026-07-05	greenhouse-api	Senior Manager, Network Operations	Marqeta	added	Toronto, Canada; Vancouver, Canada
https://job-boards.greenhouse.io/humanagency/jobs/7581379003	2026-07-05	greenhouse-api	Chief of Staff	Human Agency	added	US or Canada
https://job-boards.greenhouse.io/humanagency/jobs/7663496003	2026-07-05	greenhouse-api	Chief of Staff - Atlanta	Human Agency	added	Atlanta
https://job-boards.greenhouse.io/humanagency/jobs/7663494003	2026-07-05	greenhouse-api	Chief of Staff - Austin	Human Agency	added	Austin
https://job-boards.greenhouse.io/humanagency/jobs/7663499003	2026-07-05	greenhouse-api	Chief of Staff - Bay Area	Human Agency	added	Bay Area
https://job-boards.greenhouse.io/humanagency/jobs/7663495003	2026-07-05	greenhouse-api	Chief of Staff - Chicago	Human Agency	added	Chicago
https://job-boards.greenhouse.io/humanagency/jobs/7663507003	2026-07-05	greenhouse-api	Chief of Staff - Dallas	Human Agency	added	Dallas
https://job-boards.greenhouse.io/humanagency/jobs/7663509003	2026-07-05	greenhouse-api	Chief of Staff - Minneapolis	Human Agency	added	Minneapolis
https://job-boards.greenhouse.io/humanagency/jobs/7663501003	2026-07-05	greenhouse-api	Chief of Staff - Montreal	Human Agency	added	Montreal
https://job-boards.greenhouse.io/humanagency/jobs/7663498003	2026-07-05	greenhouse-api	Chief of Staff - New York City	Human Agency	added	New York City
https://job-boards.greenhouse.io/humanagency/jobs/7663508003	2026-07-05	greenhouse-api	Chief of Staff - Phoenix	Human Agency	added	Phoenix
https://job-boards.greenhouse.io/humanagency/jobs/7663503003	2026-07-05	greenhouse-api	Chief of Staff - Seattle	Human Agency	added	Seattle
https://job-boards.greenhouse.io/humanagency/jobs/7663500003	2026-07-05	greenhouse-api	Chief of Staff - Toronto	Human Agency	added	Toronto
